Persian_Date,Gregorian_Date,Total_Cases,New_Cases,Active_Cases,Total_Recovered,New_Recovered,Total_Deaths,New_Deaths,Outpatients,Inpatients,Total_Tests,New_Tests,caseTotest,Critical
98/11/30,2/19/20,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
98/12/01,2/20/20,5,2,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA
98/12/02,2/21/20,18,13,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA
98/12/03,2/22/20,28,10,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA
98/12/04,2/23/20,43,15,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA
98/12/05,2/24/20,61,18,NA,NA,NA,12,4,NA,NA,NA,NA,NA,NA
98/12/06,2/25/20,95,34,56,24,NA,15,3,NA,NA,NA,NA,NA,NA
98/12/07,2/26/20,139,44,66,54,30,19,4,NA,NA,NA,NA,NA,NA
98/12/08,2/27/20,245,106,165,54,0,26,7,NA,NA,NA,NA,NA,NA
98/12/09,2/28/20,388,143,281,73,19,34,8,NA,NA,NA,NA,NA,NA
98/12/10,2/29/20,593,205,427,123,50,43,9,NA,NA,NA,NA,NA,NA
98/12/11,3/1/20,978,385,749,175,52,54,11,NA,NA,NA,NA,NA,NA
98/12/12,3/2/20,1501,523,1144,291,116,66,12,NA,NA,NA,NA,NA,NA
98/12/13,3/3/20,2336,835,1824,435,144,77,11,NA,NA,NA,NA,NA,NA
98/12/14,3/4/20,2922,586,2278,552,117,92,15,NA,NA,NA,NA,NA,NA
98/12/15,3/5/20,3513,591,2667,739,187,107,15,NA,NA,NA,NA,NA,NA
98/12/16,3/6/20,4747,1234,3710,913,174,124,17,NA,NA,NA,NA,NA,NA
98/12/17,3/7/20,5823,1076,4009,1669,756,145,21,NA,NA,NA,NA,NA,NA
98/12/18,3/8/20,6566,743,4238,2134,465,194,49,NA,NA,NA,NA,NA,NA
98/12/19,3/9/20,7167,601,4536,2394,260,237,43,NA,NA,NA,NA,NA,NA
98/12/20,3/10/20,8042,875,5020,2731,337,291,54,NA,NA,NA,NA,NA,NA
98/12/21,3/11/20,9000,958,5687,2959,228,354,63,NA,NA,NA,NA,NA,NA
98/12/22,3/12/20,10075,1075,6370,3276,317,429,75,NA,NA,NA,NA,NA,NA
98/12/23,3/13/20,11364,1289,7321,3529,253,514,85,NA,NA,NA,NA,NA,NA
98/12/24,3/14/20,12729,1365,7779,4339,810,611,97,NA,NA,NA,NA,NA,NA
98/12/25,3/15/20,13938,1209,8624,4590,251,724,113,NA,NA,NA,NA,NA,NA
98/12/26,3/16/20,14991,1053,9142,4996,406,853,129,NA,NA,NA,NA,NA,NA
98/12/27,3/17/20,16169,1178,9792,5389,393,988,135,NA,NA,NA,NA,NA,NA
98/12/28,3/18/20,17361,1192,10516,5710,321,1135,147,NA,NA,NA,NA,NA,NA
98/12/29,3/19/20,18407,1046,11144,5979,269,1284,149,NA,NA,NA,NA,NA,NA
99/01/01,3/20/20,19644,1237,11466,6745,766,1433,149,NA,NA,NA,NA,NA,NA
99/01/02,3/21/20,20610,966,11419,7635,890,1556,123,NA,NA,NA,NA,NA,NA
99/01/03,3/22/20,21638,1028,12040,7913,278,1685,129,NA,NA,NA,NA,NA,NA
99/01/04,3/23/20,23049,1411,12861,8376,463,1812,127,NA,NA,NA,NA,NA,NA
99/01/05,3/24/20,24811,1762,13964,8913,537,1934,122,NA,NA,NA,NA,NA,NA
99/01/06,3/25/20,27017,2206,15315,9625,712,2077,143,NA,NA,NA,NA,NA,NA
99/01/07,3/26/20,29406,2389,16715,10457,832,2234,157,NA,NA,NA,NA,NA,2746
99/01/08,3/27/20,32332,2926,18821,11133,676,2378,144,NA,NA,NA,NA,NA,2893
99/01/09,3/28/20,35408,3076,21212,11679,546,2517,139,NA,NA,NA,NA,NA,3206
99/01/10,3/29/20,38309,2901,23278,12391,712,2640,123,NA,NA,NA,NA,NA,3467
99/01/11,3/30/20,41495,3186,24827,13911,1520,2757,117,NA,NA,NA,NA,NA,3511
99/01/12,3/31/20,44606,3111,27052,14656,745,2898,141,NA,NA,NA,NA,NA,3703
99/01/13,4/1/20,47593,2987,29084,15473,817,3036,138,NA,NA,NA,NA,NA,3871
99/01/14,4/2/20,50468,2875,30597,16711,1238,3160,124,NA,NA,NA,NA,NA,3956
99/01/15,4/3/20,53183,2715,31954,17935,1224,3294,134,NA,NA,NA,NA,NA,4035
99/01/16,4/4/20,55743,2560,32555,19736,1801,3452,158,NA,NA,NA,NA,NA,4103
99/01/17,4/5/20,58226,2483,32612,22011,2275,3603,151,NA,NA,189790,NA,NA,4057
99/01/18,4/6/20,60500,2274,32525,24236,2225,3739,136,NA,NA,NA,NA,NA,4083
99/01/19,4/7/20,62589,2089,31678,27039,2803,3872,133,NA,NA,211136,NA,NA,3987
99/01/20,4/8/20,64586,1997,30781,29812,2773,3993,121,NA,NA,220975,9839,0.203,3956
99/01/21,4/9/20,66220,1634,29801,32309,2497,4110,117,NA,NA,231393,10418,0.157,3918
99/01/22,4/10/20,68192,1972,28495,35465,3156,4232,122,NA,NA,242568,11175,0.176,3969
99/01/23,4/11/20,70029,1837,23725,41947,6482,4357,125,NA,NA,251703,9135,0.201,3987
99/01/24,4/12/20,71686,1657,23318,43894,1947,4474,117,NA,NA,263388,11685,0.142,3930
99/01/25,4/13/20,73303,1617,22735,45983,2089,4585,111,NA,NA,275427,12039,0.134,3877
99/01/26,4/14/20,74877,1574,22065,48129,2146,4683,98,NA,NA,287359,11932,0.132,3691
99/01/27,4/15/20,76389,1512,21679,49933,1804,4777,94,NA,NA,299204,11845,0.128,3643
99/01/28,4/16/20,77995,1606,20897,52229,2296,4869,92,NA,NA,310340,11136,0.144,3594
99/01/29,4/17/20,79494,1499,20472,54064,1835,4958,89,NA,NA,319879,9539,0.157,3563
99/01/30,4/18/20,80868,1374,19850,55987,1923,5031,73,NA,NA,330137,10258,0.134,3513
99/01/31,4/19/20,82211,1343,20070,57023,1036,5118,87,NA,NA,341662,11525,0.117,3456
99/02/01,4/20/20,83505,1294,19023,59273,2250,5209,91,NA,NA,353012,11350,0.114,3389
99/02/02,4/21/20,84802,1297,18540,60965,1692,5297,88,NA,NA,365723,12711,0.102,3357
99/02/03,4/22/20,85996,1194,17492,63113,2148,5391,94,NA,NA,377396,11673,0.102,3311
99/02/04,4/23/20,87026,1030,16702,64843,1730,5481,90,NA,NA,389507,12111,0.085,3105
99/02/05,4/24/20,88194,1168,16024,66596,1753,5574,93,NA,NA,399927,10420,0.112,3121
99/02/06,4/25/20,89328,1134,15485,68193,1597,5650,76,NA,NA,410075,10148,0.112,3096
99/02/07,4/26/20,90481,1153,15114,69657,1464,5710,60,NA,NA,421313,11238,0.103,3079
99/02/08,4/27/20,91472,991,14733,70933,1276,5806,96,NA,NA,432329,11016,0.09,3011
99/02/09,4/28/20,92584,1112,14268,72439,1506,5877,71,NA,NA,442590,10261,0.108,2983
99/02/10,4/29/20,93657,1073,13909,73791,1352,5957,80,NA,NA,453386,10796,0.099,2965
99/02/11,4/30/20,94640,983,13509,75103,1312,6028,71,NA,NA,463295,9909,0.099,2976
99/02/12,5/1/20,95646,1006,13237,76318,1215,6091,63,NA,NA,475023,11728,0.086,2899
99/02/13,5/2/20,96448,802,12942,77350,1032,6156,65,NA,NA,484541,9518,0.084,2787
99/02/14,5/3/20,97424,976,12799,78422,1072,6203,47,NA,NA,496273,11732,0.083,2690
